Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
China,CHN,1981-01-01,195866382432.54,5.17241379310337,NA,7.4496039902587,7.44757798971743,993885000
China,CHN,1982-01-01,205089699858.779,8.9344262295084,NA,8.67333893776168,11.0196293674193,1008630000
China,CHN,1983-01-01,230686747153.257,10.8352144469524,NA,8.40330217864287,9.51780053267791,1023310000
China,CHN,1984-01-01,259946510957.143,15.1391717583164,NA,9.50591911770801,9.52669262214982,1036825000
China,CHN,1985-01-01,309488028132.653,13.4433962264152,NA,12.3760532855031,8.33680172691235,1051040000
China,CHN,1986-01-01,300758100107.246,8.93970893970877,26.0483210361187,11.1693020665084,8.71217788685542,1066790000
China,CHN,1987-01-01,272972974764.574,11.68893129771,27.9326137383688,12.3755305590728,12.4821345187692,1084035000
China,CHN,1988-01-01,312353631207.819,11.2345151644596,33.1872461820759,15.6824497735417,14.3823208189665,1101630000
China,CHN,1989-01-01,347768051311.741,4.18586789554524,39.2424711028188,13.2613658201336,11.8443293840918,1118650000
China,CHN,1990-01-01,360857912565.966,3.90711389605613,40.4402651714292,10.6584219385709,13.6147101696208,1135185000
China,CHN,1991-01-01,383373318083.624,9.29407591344449,41.8785982804949,11.4618459598733,14.4878781464611,1150780000
China,CHN,1992-01-01,426915712711.146,14.2161635832521,44.5395566007953,14.4874967792173,15.658219676311,1164970000
China,CHN,1993-01-01,444731282436.762,13.8675760159137,51.0468208441459,19.353783317961,16.7022945503192,1178440000
China,CHN,1994-01-01,564324670005.917,13.0521587222365,63.4292401877766,17.2330664184822,18.5367485700923,1191835000
China,CHN,1995-01-01,734547898220.508,10.9492273730684,74.0797879027915,16.3230779490987,17.9510180778458,1204855000
China,CHN,1996-01-01,863746717503.789,9.92837246319102,80.2381542679357,15.8914499144708,17.9232955521271,1217550000
China,CHN,1997-01-01,961603952951.82,9.23076923076908,82.4739651588297,15.039852899528,19.493164459713,1230075000
China,CHN,1998-01-01,1029043097554.08,7.83761391880728,81.8362910202074,14.0823746877505,18.3423215825108,1241935000
China,CHN,1999-01-01,1093997267271.06,7.66748617086637,80.6893768363119,15.3618705728248,18.1626961583414,1252735000
China,CHN,2000-01-01,1211346869605.24,8.49150849150834,80.9700195375273,18.5170939709101,20.8934448164694,1262645000
China,CHN,2001-01-01,1339395718865.3,8.33991054985566,81.5523012121143,18.2152135311025,20.3121457448267,1271850000
China,CHN,2002-01-01,1470550015081.55,9.13064594463337,80.9553583474872,20.1026579597863,22.64474567395,1280400000
China,CHN,2003-01-01,1660287965662.68,10.0356030262568,81.8682125556712,24.823231465803,26.9807565341723,1288400000
China,CHN,2004-01-01,1955347004963.27,10.1112234580387,84.9993750151793,28.4441866417059,31.0613375826931,1296075000
China,CHN,2005-01-01,2285965892360.54,11.3957759412304,86.5093176560146,28.3780352999888,33.8298575661779,1303720000
China,CHN,2006-01-01,2752131773355.16,12.7194790206908,87.936230977228007,28.4438583515049,36.0350255522634,1311020000
China,CHN,2007-01-01,3552182311652.97,14.231388035688,92.1719128488834,26.7164383295607,35.388178734687,1317885000
China,CHN,2008-01-01,4598206091384,9.65428937259927,97.6333339896663,24.9332988840144,32.519573318463,1324655000
China,CHN,2009-01-01,5109953609257.25,9.39981317141536,96.9223960389561,20.1487764678485,24.4566512197443,1331260000
China,CHN,2010-01-01,6100620488867.55,10.6361404632298,100,22.6218852995959,26.2674140739838,1337705000
China,CHN,2011-01-01,7572553836875.34,9.5364430080555,105.553897059043,24.1055086672622,26.4943227161603,1344130000
China,CHN,2012-01-01,8560547314679.28,7.85626211026953,108.318909010561,22.6996630039661,25.4081958280589,1350695000
China,CHN,2013-01-01,9607224481532.65,7.75763514617024,111.158000721251,22.0602532874583,24.5049814863803,1357380000
China,CHN,2014-01-01,10482372109961.9,7.29766595938155,113.294061123401,21.381502007129,23.4950582679709,1364270000
China,CHN,2015-01-01,11064666282625.5,6.90020481672437,114.922124554591,18.1049939186778,21.3480716058522,1371220000
China,CHN,2016-01-01,11190992550229.5,6.69999999999993,117.220567045682,17.375439107137,19.658377570703,1378665000
China,CHN,2017-01-01,12237700479375,6.90000000000013,119.088051569694,18.0460194939874,19.7573801017432,1386395000
Brazil,BRA,1961-01-01,15236854859.469,10.2759115543011,NA,7.33945907077904,7.27940794590105,74351763
Brazil,BRA,1962-01-01,19926293839.0163,5.21605942017879,NA,5.18897394767796,3.86876017137378,76573248
Brazil,BRA,1963-01-01,23021477292.2093,0.874672592408473,NA,9.11100002127562,9.03645424482606,78854019
Brazil,BRA,1964-01-01,21211892259.9904,3.4855823042772,NA,5.6776000056402,6.38540927082227,81168654
Brazil,BRA,1965-01-01,21790035117.19,3.05348789366909,NA,5.55592484290456,7.73576138413985,83498020
Brazil,BRA,1966-01-01,27062716577.9111,4.15036023303344,NA,5.9916692270486704,6.82473507896306,85837799
Brazil,BRA,1967-01-01,30591834053.9653,4.9152656750113,NA,5.7689710655619,5.7689710655619,88191378
Brazil,BRA,1968-01-01,33875881876.3672,11.4272823832673,NA,6.61038441129829,6.00052600864501,90557064
Brazil,BRA,1969-01-01,37458898243.8609,9.73582688991262,NA,6.55371309699865,6.6204037968306,92935072
Brazil,BRA,1970-01-01,42327600098.2412,8.76994747172614,NA,7.44975914768755,7.02943634908589,95326793
Brazil,BRA,1971-01-01,49204456700.4516,11.2950868433502,NA,8.13797343242644,6.41330674313925,97728961
Brazil,BRA,1972-01-01,58539008786.3684,12.0528022500387,NA,8.844075564518,7.259175691336,100143598
Brazil,BRA,1973-01-01,79279057730.829,13.9786916510754,NA,9.50158099803278,8.27167782462644,102584278
Brazil,BRA,1974-01-01,105136007528.76,9.0421203131704,NA,13.8837280806904,8.01311941176138,105069367
Brazil,BRA,1975-01-01,123709376567.89,5.20907590114368,NA,11.5055803106496,7.53857281945099,107612100
Brazil,BRA,1976-01-01,152678020452.829,9.79041016147573,NA,9.43261782257726,7.03571355665957,110213082
Brazil,BRA,1977-01-01,176171284311.761,4.60631806113821,NA,7.91774763658594,7.25236847121218,112867867
Brazil,BRA,1978-01-01,200800891870.164,3.23170956333547,NA,7.86439435789246,6.67557886823388,115577669
Brazil,BRA,1979-01-01,224969488835.181,6.76628496532679,NA,9.17556778799975,7.12390494963595,118342626
Brazil,BRA,1980-01-01,235024598983.261,9.11096015517178,3.5720399582063e-10,11.3058307064925,9.05272982472942,121159761
Brazil,BRA,1981-01-01,263561088977.129,-4.39335720034848,7.20570021177796e-10,9.79944909521963,9.42035430772259,124030908
Brazil,BRA,1982-01-01,281682304161.041,0.580245553394263,1.44505532582099e-9,8.27447902353463,7.60968270162801,126947365
Brazil,BRA,1983-01-01,203304515490.795,-3.40979347371619,3.39627763113711e-9,9.00834119424021,11.4218215925107,129882321
Brazil,BRA,1984-01-01,209023912696.839,5.26914314976841,9.92127425312483e-9,7.92438729311929,13.547584918489,132800684
Brazil,BRA,1985-01-01,222942790435.299,7.94586174871301,3.23423578659524e-8,7.09531456076386,12.2479596662611,135676281
Brazil,BRA,1986-01-01,268137224729.722,7.98829510486235,7.9931770840998e-8,6.35457655453407,8.81658867805845,138499464
Brazil,BRA,1987-01-01,294084112392.66,3.59962946680905,2.62444985223705e-7,6.19266264606477,9.4599432176942,141273488
Brazil,BRA,1988-01-01,330397381998.489,-0.102672718384028,1.91352101257423e-6,5.69253804870036,10.8882167136928,144001542
Brazil,BRA,1989-01-01,425595310000,3.27945885796422,2.9290745851734e-5,5.46126798028507,8.92960968014427,146691981
Brazil,BRA,1990-01-01,461951782000,-3.10235594875034,8.92703747653787e-4,6.9617655463444,8.19999001540815,149352145
Brazil,BRA,1991-01-01,602860000000,1.51193723789997,0.00475620651227255,7.91394353581263,8.67697309491424,151976577
Brazil,BRA,1992-01-01,400599250000,-0.466913209800595,0.0500334876739342,8.38509433055603,10.8682492540862,154564278
Brazil,BRA,1993-01-01,437798577639.752,4.66516898877869,1.01436931774854,9.09604605458896,10.5032702366843,157132682
Brazil,BRA,1994-01-01,558111997497.263,5.33455170247335,22.0715442934335,9.66785406991572,9.66505138718782,159705123
Brazil,BRA,1995-01-01,769305386182.849,4.41673135388541,36.640315941141,9.45558496072482,7.52887503847073,162296612
Brazil,BRA,1996-01-01,850426432991.742,2.20753552794332,42.4139744020249,8.90538179274132,6.73020968312685,164913306
Brazil,BRA,1997-01-01,883199625324.675,3.39502863721177,45.3518684755867,9.59255968601575,6.98364957530895,167545164
Brazil,BRA,1998-01-01,863723411632.917,0.338356179270292,46.8008952735922,9.40808459248784,7.03050033871807,170170640
Brazil,BRA,1999-01-01,599388579985.673,0.469066587492748,49.0746921995342,11.4172682172491,9.5648982609794,172759243
Brazil,BRA,2000-01-01,655420645476.906,4.11248423957235,52.5315827425714,12.4517133524146,10.1880480043795,175287587
Brazil,BRA,2001-01-01,559372276081.966,1.38283202786526,56.1249316036127,14.564574352134,12.37171066993,177750670
Brazil,BRA,2002-01-01,507962487700.024,3.05401649348664,60.8675805806435,13.3877671308534,14.2305902713775,180151021
Brazil,BRA,2003-01-01,558319920831.979,1.1398868686459,69.8241962003048,12.9596010144732,15.1807837086861,182482149
Brazil,BRA,2004-01-01,669316654017.094,5.76441160717781,74.430627668128,13.1324909668183,16.5457615119353,184738458
Brazil,BRA,2005-01-01,891630175813.342,3.19646411192971,79.5436673306746,11.8429658002257,15.2438294846388,186917361
Brazil,BRA,2006-01-01,1107640297889.95,3.95729682920643,82.8714308457339,11.6673833032613,14.3743160731532,189012412
Brazil,BRA,2007-01-01,1397084345950.39,6.06035358460959,85.8890058743968,11.9649364188483,13.3276752773306,191026637
